record_id,atm_id,date,city,location_type,day_of_week,month,is_weekend,is_holiday,festival,temperature,transaction_count,average_withdrawal,withdrawal_amount,deposit_amount,opening_cash,cash_remaining,cash_out,replenishment_required,next_day_cash_requirement
1,ATM008,2024-01-26,Hyderabad,Railway Station,Friday,1,0,0,Christmas,21.03,406,5967.0,2422602.0,104270.79,2500000,181668.79,0,1,2461669.48
2,ATM006,2024-08-11,Chennai,Market,Sunday,8,1,0,None,30.15,439,4936.0,2166904.0,136658.17,3000000,969754.17,0,0,2217081.02
3,ATM001,2024-06-12,Pune,College,Wednesday,6,0,0,None,22.5,135,4257.0,574695.0,26051.81,2500000,1951356.81,0,0,507944.6
4,ATM023,2025-09-10,Hyderabad,Market,Wednesday,9,0,0,Diwali,34.7,400,2145.0,858000.0,96787.63,3000000,2238787.63,0,0,1174337.37
5,ATM024,2025-08-14,Chennai,Mall,Thursday,8,0,0,None,16.24,286,3870.0,1106820.0,196774.03,1500000,589954.03,0,0,1276461.51
6,ATM025,2024-10-11,Jaipur,College,Friday,10,0,0,Christmas,19.39,266,3687.0,1250892.36,165783.45,1000000,0.0,1,1,1569333.41
7,ATM011,2025-06-30,Chennai,Hospital,Monday,6,0,0,None,27.48,149,6062.0,903238.0,56851.86,2000000,1153613.86,0,0,1034205.86
8,ATM004,2024-08-22,Delhi,College,Thursday,8,0,0,None,25.83,96,3228.0,309888.0,51742.13,3000000,2741854.13,0,0,358456.33
9,ATM021,2024-08-05,Jaipur,Residential,Monday,8,0,0,None,38.89,244,5258.0,1282952.0,65983.17,1500000,283031.17,0,1,1201253.14
10,ATM036,2025-07-05,Hyderabad,Residential,Saturday,7,1,0,None,39.24,225,3296.0,741600.0,133190.52,1500000,891590.52,0,0,823621.66
11,ATM006,2024-02-18,Mumbai,Hospital,Sunday,2,1,0,None,31.94,246,2020.0,496920.0,43587.39,3000000,2546667.39,0,0,643279.78
12,ATM034,2024-09-14,Delhi,Mall,Saturday,9,1,0,None,33.41,400,4286.0,1714400.0,80118.76,2500000,865718.76,0,0,1676312.26
13,ATM001,2024-09-26,Bengaluru,Mall,Thursday,9,0,0,None,38.5,313,5658.0,1770954.0,214897.35,1500000,0.0,1,1,1737075.38
14,ATM011,2025-07-06,Delhi,College,Sunday,7,1,0,None,28.19,187,4473.0,836451.0,135344.7,2000000,1298893.7,0,0,843571.69
15,ATM016,2025-08-03,Mumbai,Mall,Sunday,8,1,0,None,34.76,298,2530.0,753940.0,37138.12,2500000,1783198.12,0,0,961958.68
16,ATM011,2024-09-28,Pune,Railway Station,Saturday,9,1,0,None,40.08,311,4768.0,1482848.0,265833.72,2000000,782985.72,0,0,1606816.81
17,ATM034,2025-04-07,Mumbai,Railway Station,Monday,4,0,0,Eid,21.07,363,6037.0,2191431.0,141385.01,1500000,0.0,1,1,2204513.44
18,ATM004,2024-08-22,Mumbai,Market,Thursday,8,0,1,None,38.21,273,3781.0,1032213.0,134545.52,1500000,602332.52,0,0,1200855.65
